"uid","profit","round"
"282813",-9995,10
"240531",12500,3
"297103",-41000,12
"287218",-37500,7
"251376",-25000,4
"259527",-8750,5
"224265",68000,11
"288947",-9575,8
"238436",-8250,5
"207002",-6250,1
"292532",-15750,7
"253159",32750,12
"269195",49000,10
"286549",13750,6
"231302",-28500,10
"265669",-8750,8
"225607",-40000,8
"297063",-6250,11
"208923",-13250,9
"238001",-7500,10
"268795",-39750,11
"211632",750,4
"270548",250,1
"299293",-27750,8
"265284",53250,6
"263069",-21000,6
"251949",-13750,3
"294466",22000,10
"278583",-64250,13
"263537",-9925,4
"207319",-25000,6
"260875",-8000,12
"266765",-36250,10
"247161",60500,11
"207358",-10750,8
"225908",49500,8
"227333",3750,5
"268014",-8250,5
"297986",-6250,1
"269838",18500,3
"243315",-9500,3
"251862",-5000,2
"295391",1750,11
"210185",-33500,6
"271491",-35750,10
"256891",-26250,5
"224660",1750,8
"251964",-23250,13
"231112",-79750,14
"250194",-9500,7
"261257",-22500,5
"242668",-9750,8
"253959",-9400,7
"272663",31500,2
"250116",-6250,1
"250835",-12500,2
"298874",-25000,5
"284145",-7250,3
"227036",21250,3
"291306",-23000,11
"287414",-38000,8
"214815",-9750,6
"277442",-18750,3
"211097",-4250,10
"216242",40000,2
"218082",56250,1
"265302",-6250,3
"284573",226250,8
"276530",-6500,2
"211840",23000,8
"210137",-69250,14
"214247",-18750,3
"208538",-37750,8
"238136",-17250,5
"293428",-37500,8
"278102",-51000,12
"285093",-9925,10
"209647",-6250,1
"244950",-9500,2
"288647",-9970,9
"200970",-50000,8
"252112",-27500,5
"201416",-16750,8
"278886",-69750,13
"216037",-23000,4
"263336",-39750,7
"203783",-9815,8
"262374",25250,4
"271343",-6250,1
"277319",-42000,8
"253962",13750,12
"218204",-7500,2
"257981",18750,2
"208912",-22000,4
"225182",238000,12
"272628",-14000,7
"269593",7500,10
"268359",-9250,4
"278891",-12500,2
"277420",-2250,3
"217684",-22250,5
"231355",-2000,2
"294257",-30000,6
"277540",-16500,3
"220579",50250,6
"223262",-6250,1
"226904",-48000,11
"223411",-10750,5
"209317",-34000,12
"264115",-45100,12
"266881",-30250,8
"231074",-30250,6
"211594",-24000,12
"261919",37500,2
"218851",-1250,1
"225773",-24250,4
"246236",-9525,6
"287650",-21500,10
"265792",-9850,10
"280114",-9875,10
"228603",-38500,11
"290221",-6250,1
"287835",-12500,3
"290798",-15000,3
"228196",-9625,9
"219507",52250,5
"269914",-9095,6
"214103",71250,10
"297805",-16750,6
"260258",-9600,9
"233320",-18750,3
"297103",-32250,13
"299053",75000,13
"251376",-30000,5
"259527",-9375,6
"252158",-6500,6
"274809",-16750,8
"236282",-1250,1
"238436",-9000,6
"207002",-7000,2
"292532",-22000,8
"253159",26500,13
"269195",42750,11
"225607",-44750,9
"236300",-35500,12
"204766",43750,11
"286441",5500,7
"297063",-12500,12
"238001",-10000,11
"268795",-34750,12
"292308",-6250,1
"230982",98750,7
"299293",-34000,9
"263069",-27250,7
"272546",48750,10
"294466",15750,11
"251247",101250,8
"263537",-9925,5
"207319",-31250,7
"260875",-14250,13
"247161",90500,12
"225908",43250,9
"258313",-9650,10
"268014",-14500,6
"297986",7000,2
"238892",-25750,5
"202866",-6250,1
"269838",16250,4
"243315",-15750,4
"202394",-72250,13
"223459",6250,8
"210185",-39000,7
"256891",-32500,6
