"uid","pay","profit","round"
233046,6250,77250,6
205107,6250,-2250,3
237560,6250,-11750,2
276153,6250,-6250,1
245231,6250,-31250,5
228620,6250,138750,5
231149,6250,-23500,4
279141,6250,10000,8
287636,6250,-8750,5
207768,6250,23750,1
291057,6250,4000,5
207379,1250,-6500,4
228241,6250,-21750,6
299178,6250,31500,6
270826,6250,-13750,4
289862,6250,-2000,4
248395,6250,-17750,4
293877,6250,21250,1
238778,6250,-36750,7
224337,6250,-3750,3
248567,6250,-18750,3
225077,125,-9875,5
206835,6250,-7500,2
262797,6250,12500,8
254909,6250,87000,7
228198,6250,13750,1
212778,6250,-12750,4
234250,6250,-8000,2
223733,6250,-43750,7
238979,6250,97500,7
279649,1250,-6500,2
250327,1250,-9600,6
268516,6250,-19250,8
270962,6250,-6250,1
234893,6250,-18500,5
205648,125,-9625,6
245326,6250,-18750,3
215139,1250,-2750,6
229398,1250,-3600,2
235496,6250,3750,1
249300,6250,-29750,5
204618,6250,18250,3
299426,6250,-18750,3
217089,6250,-6250,1
232187,6250,9500,5
244930,6250,-17500,6
247438,6250,18000,4
250398,1250,-8750,3
215008,6250,15000,6
235044,6250,-38500,8
277853,6250,3000,4
265834,1250,20050,5
224164,6250,-19250,4
224132,6250,-1250,1
234633,6250,11750,5
212414,6250,16000,2
263637,6250,-2500,1
221078,6250,-42500,7
208955,6250,51250,3
229636,6250,-11250,2
234148,6250,-6250,1
232238,6250,-30500,6
228622,6250,-24250,4
296311,6250,-22500,4
228908,6250,-31250,6
238564,6250,-3750,1
213647,1250,-5000,3
200598,6250,-8500,4
254013,6250,-18750,3
288512,6250,-10500,2
202475,6250,-37750,8
220688,6250,-31250,6
295457,6250,-11250,2
221290,6250,13250,7
238656,6250,-6250,1
205958,6250,8750,4
297473,6250,-31250,5
245697,6250,-16250,3
222017,6250,31750,3
228052,6250,95000,3
260363,6250,109750,4
216052,6250,-6750,2
246041,6250,-6250,2
295368,6250,750,6
230932,6250,-250,1
288734,6250,-31250,5
290625,6250,-8750,3
214802,6250,-35250,6
215872,6250,7000,4
273673,6250,95250,5
210620,6250,-6250,1
224253,6250,-11000,4
219839,1250,-7650,3
254802,6250,37500,7
270029,6250,-22000,4
254935,6250,101750,6
296186,6250,186000,6
263411,6250,-26250,6
254595,6250,-17000,6
270260,6250,-36000,6
236098,6250,32000,6
282695,6250,8000,4
211039,6250,-16000,8
289759,6250,-6250,1
215863,6250,-40250,7
245454,6250,152750,5
249453,6250,-21250,5
283195,6250,8500,4
274405,6250,37500,6
251324,6250,-18750,3
237524,6250,45000,4
250164,6250,-31250,8
212884,6250,-1250,1
274356,1250,1600,3
200573,1250,-5200,4
252885,6250,-6250,2
271661,6250,-18750,3
266918,6250,-1250,2
262917,6250,-29000,5
276746,6250,-20500,8
253488,6250,-9250,7
294252,6250,-3250,1
287045,6250,-31750,6
253610,6250,2500,2
288720,1250,-5250,5
205317,125,-9750,7
251168,6250,-12500,2
223580,6250,-14250,5
238692,6250,-6250,1
228409,6250,-29250,6
237367,6250,-6500,4
284306,6250,-42250,7
264398,6250,-18000,3
242428,6250,-11250,2
239440,6250,6250,4
292941,6250,-6250,1
256242,6250,-56250,9
295048,6250,-25000,4
281702,6250,-15500,4
236697,6250,-35250,6
253732,6250,-19750,7
296697,6250,-1250,5
202940,6250,-26750,5
233046,6250,81000,7
290914,6250,-3250,6
223154,6250,-6250,1
218502,6250,-6000,6
246276,6250,-9500,2
236136,6250,121250,7
270531,6250,-8000,2
276153,6250,47500,2
245231,6250,-36750,6
265827,6250,-4750,1
228620,6250,132500,6
245844,1250,-8500,3
240098,1250,-6500,2
279141,6250,3750,9
266613,6250,-6250,1
233102,6250,-8250,5
273124,6250,-18000,3
228241,6250,-28000,7
270826,6250,1250,5
299178,6250,81250,7
289862,6250,-6000,5
210899,6250,-6250,1
248567,6250,-25000,4
225077,75,-9825,6
207163,6250,18750,2
262797,6250,6250,9
213742,6250,-2500,1
212778,6250,-18250,5
234250,6250,-14250,3
223733,6250,-41000,8
238979,6250,91250,8
205930,6250,103250,6
250327,125,-9625,7
268516,6250,-25500,9
270962,6250,-12500,2
242524,6250,-6250,1
212063,6250,-25750,6
205648,125,-9550,7
245326,6250,-5000,4
236153,6250,21250,6
249300,6250,-35250,6
251132,6250,-6250,1
204455,6250,16000,3
296185,6250,-18000,3
299426,6250,-25000,4
217089,1250,-6600,2
232187,6250,3250,6
250815,625,-9850,5
287432,6250,7750,3
228001,6250,-5000,4
231188,6250,-6250,1
285258,1250,3750,4
218762,6250,78000,8
244930,6250,-21250,7
247438,6250,11750,5
250398,625,-8875,4
293589,6250,11500,2
230458,6250,31000,1
297972,6250,57500,5
220568,6250,-6000,2
291726,6250,-11000,2
215452,6250,-1250,5
271071,6250,-29750,6
247084,6250,-6250,1
221078,6250,-48750,8
297463,6250,-17500,3
203362,125,-9505,8
234148,6250,116250,2
228622,6250,-30500,5
296311,6250,-28750,5
271466,6250,-1250,3
225343,6250,16250,1
205107,6250,-8500,4
228908,6250,-7500,7
256441,6250,67000,7
270434,6250,-5500,1
200598,6250,-14750,5
299968,6250,-15750,3
254013,6250,-22250,4
288512,6250,-14250,3
221290,6250,7000,8
238656,6250,-12500,2
297473,6250,-37500,6
259165,6250,-6250,1
245697,6250,-22500,4
295368,6250,-4000,7
288734,6250,-37500,6
270070,6250,25250,1
290625,6250,-15000,4
204270,6250,100000,4
239604,6250,-6000,7
214802,6250,-28250,7
215872,6250,750,5
273673,6250,274000,6
210620,6250,-2500,2
291057,6250,-2250,6
254802,6250,51250,8
217822,6250,13750,1
254935,6250,97000,7
237560,6250,-18000,3
270260,6250,-38500,7
213421,6250,49000,7
282695,6250,5750,5
293877,6250,15000,2
289759,6250,-12500,2
238778,6250,-41500,8
224337,6250,-10000,4
209993,6250,1500,1
215863,6250,-46500,8
251324,6250,-25000,4
237524,6250,39750,5
250164,6250,-26000,9
268015,6250,-6250,1
252885,6250,-12500,3
271661,6250,-12500,4
262917,6250,-35250,6
253488,6250,-15500,8
266429,6250,-4000,1
231149,6250,-29750,5
287045,6250,-38000,7
253610,6250,-1500,3
288720,1250,-6500,6
205317,125,-9875,8
251168,6250,-17250,3
228198,6250,13750,2
265834,6250,13800,6
224164,6250,-25500,5
238692,6250,-12500,2
270177,125,-9615,7
224132,6250,-4500,2
228409,6250,-31500,7
245110,6250,-6250,1
219800,6250,8000,4
211685,6250,2000,4
292941,6250,-11750,2
203728,6250,-6250,1
256242,6250,-53250,10
295048,6250,-31250,5
236697,6250,-39000,7
296697,6250,-6250,6
206452,1250,-5000,2
202940,6250,-33000,6
207768,6250,17500,2
223154,1250,-7500,2
234633,6250,5500,6
224126,6250,-6250,1
246276,6250,-5750,3
236136,6250,116250,8
270531,6250,-14250,3
248395,6250,-21000,5
205356,6250,-6250,1
228620,6250,127750,7
245844,1250,-9600,4
208955,6250,51000,4
229636,6250,-16750,3
277853,6250,-3250,5
287636,6250,-12500,6
279141,6250,500,10
232238,6250,-36750,7
266613,1250,-7050,2
233102,6250,-14500,6
242482,6250,-6250,1
204618,6250,12000,4
207379,1250,-7300,5
273124,6250,-24250,4
216052,6250,-13000,3
228241,6250,-32750,8
263637,6250,-4250,2
210899,1250,-6150,2
216961,6250,-6250,1
202475,6250,-34000,9
235044,6250,-44750,9
206835,6250,36250,3
248567,6250,-31250,5
262797,6250,0,10
254909,6250,83250,8
220688,6250,-37500,7
207163,6250,12500,3
214999,6250,-6250,1
279649,1250,-7750,3
234250,6250,-20500,4
238979,6250,85000,9
236098,6250,26500,7
205930,6250,97000,7
268516,6250,-29750,10
270962,6250,-18750,3
211039,6250,-5750,9
242524,6250,-12500,2
212063,6250,-32000,7
234893,6250,-7750,6
245454,6250,147750,6
249453,6250,-20500,6
235521,6250,-6250,1
215139,6250,-9000,7
229398,1250,-4850,3
236153,6250,17500,7
235496,6250,-2500,2
212884,6250,2500,2
251132,6250,-12500,2
274356,6250,-4650,4
222017,6250,25500,4
296185,6250,-19250,4
262094,6250,-750,1
299426,6250,-27500,5
254595,6250,-23250,7
246041,6250,-12500,3
230932,6250,-6500,2
276746,6250,-26750,9
232187,6250,3250,7
250815,125,-9975,6
287432,6250,1500,4
228001,6250,-3750,5
231188,1250,-7500,2
218762,6250,81750,9
241072,6250,-6250,1
247438,6250,46750,6
215008,6250,8750,7
217391,6250,-1750,1
212414,6250,9750,3
263411,6250,-32500,7
297972,6250,126250,6
291726,6250,-12250,3
215452,6250,-7500,6
271071,6250,-36000,7
247084,6250,-3500,2
275322,6250,2000,1
281702,6250,-21750,5
274405,6250,38750,7
221078,625,-49000,9
297463,6250,-23750,4
295457,6250,-17500,3
228622,6250,-36750,6
296311,6250,-35000,6
271466,6250,-7500,4
205107,6250,15250,5
276904,6250,0,1
228052,6250,95000,4
218502,6250,250,7
256441,6250,60750,8
238564,1250,-3750,2
266918,6250,-7500,3
276153,6250,41250,3
213647,1250,-6250,4
200598,6250,-18000,6
202010,6250,-6250,1
299968,6250,-18250,4
205958,6250,2500,5
221290,6250,750,9
290914,6250,-500,7
238656,6250,-18750,3
297473,6250,-43750,7
259165,6250,-7500,2
245697,6250,-28750,5
261766,6250,-6250,1
260363,6250,103500,5
245231,6250,-43000,7
288734,6250,-43750,7
290625,6250,-12500,5
204270,6250,98000,5
283195,6250,5500,5
212783,6250,-6250,1
253732,6250,-23500,8
215872,6250,-5500,6
224253,6250,-17250,5
219839,1250,-3900,4
270029,6250,-28250,5
237367,6250,-12750,5
296186,6250,179750,7
291057,6250,-8500,7
276418,6250,43750,1
212778,6250,-24500,6
237560,6250,-24250,4
264398,6250,-23500,4
242428,6250,-17500,3
293877,6250,8750,3
289759,6250,-6250,3
261296,6250,-5500,1
224337,6250,-16250,5
215863,1250,-47000,9
251324,6250,-31250,5
213742,6250,-8750,2
268015,6250,7500,2
282506,6250,-6250,1
200573,1250,-6450,5
252885,6250,-18750,4
262917,6250,-31500,7
265827,6250,-6000,2
294252,6250,-9500,2
239440,6250,0,5
253488,6250,10000,9
231149,6250,-36000,6
285258,6250,-2500,5
287045,6250,-11250,8
223185,6250,-6250,1
288720,1250,-7500,7
205317,75,-9950,9
223580,6250,-19250,6
233046,6250,77000,8
265834,6250,7550,7
204455,6250,39750,4
224164,6250,-31750,6
238692,6250,-18750,3
245110,6250,-12500,2
257539,6250,-6250,1
223733,6250,-34750,9
284306,6250,-48500,8
203728,6250,-12500,2
281909,6250,-6250,1
295048,6250,-37500,6
206452,1250,-6250,3
202940,6250,-34750,7
207768,6250,11250,3
223154,1250,-7550,3
234633,6250,-750,7
224126,6250,-10000,2
242013,6250,-6250,1
299178,6250,95000,8
270531,6250,-20500,4
270434,6250,-7500,2
219089,6250,-6250,1
205356,6250,-12500,2
245326,6250,-6250,5
240098,1250,-7500,3
277853,6250,-9500,6
232238,6250,-43000,8
234148,6250,117500,3
230458,6250,26250,2
233102,6250,-20750,7
204618,6250,17000,5
242482,6250,22500,2
250622,6250,-6250,1
273124,6250,-29000,5
216052,6250,-19250,4
270826,6250,1250,6
289862,1250,-7100,6
295368,6250,-10250,8
216961,1250,-7000,2
217193,6250,0,1
244930,6250,-27500,8
293589,6250,5250,3
235044,6250,-49750,10
225077,125,-9790,7
248567,6250,33250,6
262797,6250,-6250,11
220688,6250,-43750,8
207163,6250,6250,4
214999,6250,3750,2
215547,6250,-6250,1
250327,125,-9750,8
279649,1250,-9000,4
234250,6250,-26750,5
238979,6250,78750,10
205930,6250,90750,8
270962,6250,-25000,4
242524,6250,-16000,3
212063,6250,-38250,8
205648,125,-9675,8
235521,6250,-12500,2
206013,6250,-1250,1
215139,625,-9625,8
229398,1250,-5650,4
237524,6250,33500,6
235496,6250,-8750,3
249300,6250,-35250,7
251132,6250,-18750,3
274356,1250,-5900,5
222017,6250,19250,5
279834,6250,-6250,1
254595,6250,-29500,8
246041,6250,-18750,4
217089,1250,-7850,3
230932,6250,-12750,3
276746,6250,-33000,10
266429,6250,-10250,2
287432,6250,-4750,5
242254,6250,-6250,1
231188,1250,-8450,3
241072,6250,-12500,2
250398,625,-9500,5
254013,6250,-28500,5
288512,6250,-20500,4
215008,6250,2500,8
250164,6250,-30750,10
239604,6250,-12250,8
273673,6250,267750,7
225343,6250,126500,2
212414,6250,3500,4
217822,6250,7500,2
254935,6250,90750,8
263411,6250,-38750,8
220568,1250,18000,3
240584,6250,21250,1
215452,6250,-13750,7
292941,6250,-15500,3
271071,6250,-40000,8
281702,6250,-28000,6
226645,6250,-6250,1
297463,6250,-23750,5
295457,6250,7500,4
203362,125,-9630,9
254802,6250,165000,9
